RUN_ID,SHIFT_PORT_GRP_PV,ARRIVEDEPART,WEEKDAY_END_PV,AM_PM_NIGHT_PV,MIGSI,POSS_SHIFT_CROSS,SAMP_SHIFT_CROSS,MIN_SH_WT,MEAN_SH_WT,MAX_SH_WT,COUNT_RESPS,SUM_SH_WT
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,201.0,2,2,1,25,,,25.000,25.000,25.000,63,1575.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,1,,,,,,10.000,24.816,25.000,163,4045.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,2,,,,,,25.000,25.000,25.000,105,2625.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,1,1,1,10,,,10.000,10.000,10.000,2,20.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,1,1,1,25,,,25.000,25.000,25.000,81,2025.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,1,2,1,25,,,25.000,25.000,25.000,80,2000.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,2,1,1,25,,,25.000,25.000,25.000,52,1300.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,202.0,2,2,1,25,,,25.000,25.000,25.000,53,1325.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,1,,,,,,20.000,20.000,20.000,259,5180.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,2,,,,,,10.000,10.000,10.000,1019,10190.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,1,1,1,20,,,20.000,20.000,20.000,154,3080.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,1,2,1,20,,,20.000,20.000,20.000,105,2100.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,2,1,1,10,,,10.000,10.000,10.000,657,6570.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,211.0,2,2,1,10,,,10.000,10.000,10.000,362,3620.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,1,,,,,,10.000,17.867,20.000,225,4020.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,2,,,,,,20.000,20.000,20.000,423,8460.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,1,1,1,10,,,10.000,10.000,10.000,48,480.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,1,1,1,20,,,20.000,20.000,20.000,64,1280.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,1,2,1,20,,,20.000,20.000,20.000,113,2260.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,2,1,1,20,,,20.000,20.000,20.000,269,5380.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,221.0,2,2,1,20,,,20.000,20.000,20.000,154,3080.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,231.0,1,,,,,,6.000,7.273,10.000,88,640.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,231.0,2,,,,,,10.000,10.000,10.000,191,1910.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,231.0,1,1,1,6,,,6.000,6.000,6.000,60,360.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,231.0,1,1,1,10,,,10.000,10.000,10.000,28,280.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,231.0,2,1,1,10,,,10.000,10.000,10.000,191,1910.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,232.0,1,,,,,,10.000,10.000,10.000,83,830.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,232.0,1,1,1,10,,,10.000,10.000,10.000,83,830.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,1,,,,,,10.000,13.094,20.000,711,9310.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,2,,,,,,20.000,20.000,20.000,706,14120.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,1,1,1,10,,,10.000,10.000,10.000,483,4830.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,1,2,1,10,,,10.000,10.000,10.000,8,80.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,1,2,1,20,,,20.000,20.000,20.000,220,4400.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,2,1,1,20,,,20.000,20.000,20.000,575,11500.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,241.0,2,2,1,20,,,20.000,20.000,20.000,131,2620.000
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,311.0,1,,,,,,6.000,7.769,10.000,104,808.000
